Date, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
4/30/2015,2015,April,30,0,80,68,74
5/1/2015,2015,May,1,0,84,61,72.5
5/2/2015,2015,May,2,0,82,60,71
5/3/2015,2015,May,3,0,83,61,72
5/4/2015,2015,May,4,0.00001,83,65,74
5/5/2015,2015,May,5,0.07,82,68,75
5/6/2015,2015,May,6,0.00001,84,70,77
5/7/2015,2015,May,7,0,87,66,76.5
5/8/2015,2015,May,8,0,89,62,75.5
5/9/2015,2015,May,9,0,92,67,79.5
5/10/2015,2015,May,10,0,93,68,80.5
5/11/2015,2015,May,11,0,92,71,81.5
5/12/2015,2015,May,12,0,92,71,81.5
5/13/2015,2015,May,13,0,93,71,82
5/14/2015,2015,May,14,0,92,72,82
5/15/2015,2015,May,15,0.39,86,72,79
5/16/2015,2015,May,16,0,89,70,79.5
5/17/2015,2015,May,17,0,88,73,80.5
5/18/2015,2015,May,18,0,89,69,79
5/19/2015,2015,May,19,0.00001,93,69,81
5/20/2015,2015,May,20,0.16,95,71,83
5/21/2015,2015,May,21,0.16,93,71,82
5/22/2015,2015,May,22,0,95,74,84.5
5/23/2015,2015,May,23,0,93,74,83.5
5/24/2015,2015,May,24,0,90,75,82.5
5/25/2015,2015,May,25,0.15,90,71,80.5
5/26/2015,2015,May,26,0,92,74,83
5/27/2015,2015,May,27,0.00001,90,72,81
5/28/2015,2015,May,28,0,89,70,79.5
5/29/2015,2015,May,29,0,91,68,79.5
5/30/2015,2015,May,30,0.00001,92,71,81.5
5/31/2015,2015,May,31,0,91,70,80.5
6/1/2015,2015,June,1,0.21,92,71,81.5
6/2/2015,2015,June,2,0.21,83,70,76.5
6/3/2015,2015,June,3,0.00001,88,70,79
6/4/2015,2015,June,4,0,92,69,80.5
6/5/2015,2015,June,5,0.41,93,70,81.5
6/6/2015,2015,June,6,0.00001,91,69,80
6/7/2015,2015,June,7,0,90,71,80.5
6/8/2015,2015,June,8,0.00001,91,71,81
6/9/2015,2015,June,9,0.61,93,70,81.5
6/10/2015,2015,June,10,0.32,89,69,79
6/11/2015,2015,June,11,0,89,71,80
6/12/2015,2015,June,12,0.02,91,72,81.5
6/13/2015,2015,June,13,0,93,77,85
6/14/2015,2015,June,14,0,94,74,84
6/15/2015,2015,June,15,0,94,74,84
6/16/2015,2015,June,16,0,96,76,86
6/17/2015,2015,June,17,0,96,74,85
6/18/2015,2015,June,18,0.00001,97,76,86.5
6/19/2015,2015,June,19,1.47,100,73,86.5
6/20/2015,2015,June,20,0.03,95,74,84.5
6/21/2015,2015,June,21,0,96,74,85
6/22/2015,2015,June,22,0,96,78,87
6/23/2015,2015,June,23,0.00001,96,75,85.5
6/24/2015,2015,June,24,0.00001,95,75,85
6/25/2015,2015,June,25,2.54,94,72,83
6/26/2015,2015,June,26,0.00001,95,74,84.5
6/27/2015,2015,June,27,0.87,93,75,84
6/28/2015,2015,June,28,0.05,93,75,84
6/29/2015,2015,June,29,0.05,91,75,83
6/30/2015,2015,June,30,0,95,75,85
7/1/2015,2015,July,1,0.04,94,75,84.5
7/2/2015,2015,July,2,0.88,94,73,83.5
7/3/2015,2015,July,3,0.00001,95,73,84
7/4/2015,2015,July,4,0,95,73,84
7/5/2015,2015,July,5,0.95,94,73,83.5
7/6/2015,2015,July,6,0.00001,94,72,83
7/7/2015,2015,July,7,0.03,90,73,81.5
7/8/2015,2015,July,8,0.54,94,72,83
7/9/2015,2015,July,9,0.05,94,75,84.5
7/10/2015,2015,July,10,0,94,74,84
7/11/2015,2015,July,11,0.03,97,74,85.5
7/12/2015,2015,July,12,0,96,75,85.5
7/13/2015,2015,July,13,0,95,74,84.5
7/14/2015,2015,July,14,0.01,93,77,85
7/15/2015,2015,July,15,0.1,93,77,85
7/16/2015,2015,July,16,0.00001,90,74,82
7/17/2015,2015,July,17,0.16,91,75,83
7/18/2015,2015,July,18,0.00001,92,74,83
7/19/2015,2015,July,19,0,94,74,84
7/20/2015,2015,July,20,0.00001,92,74,83
7/21/2015,2015,July,21,0.47,93,76,84.5
7/22/2015,2015,July,22,0.03,93,76,84.5
7/23/2015,2015,July,23,0,94,76,85
7/24/2015,2015,July,24,0.15,88,76,82
7/25/2015,2015,July,25,0.95,89,74,81.5
7/26/2015,2015,July,26,0.02,92,75,83.5
7/27/2015,2015,July,27,0.42,89,76,82.5
7/28/2015,2015,July,28,1.06,88,76,82
7/29/2015,2015,July,29,1.32,93,74,83.5
7/30/2015,2015,July,30,0.05,92,75,83.5
7/31/2015,2015,July,31,0.16,90,74,82
8/1/2015,2015,August,1,2.12,89,72,80.5
8/2/2015,2015,August,2,0.76,87,72,79.5
8/3/2015,2015,August,3,0.00001,82,74,78
8/4/2015,2015,August,4,0.44,91,73,82
8/5/2015,2015,August,5,0,94,73,83.5
8/6/2015,2015,August,6,0.00001,93,74,83.5
8/7/2015,2015,August,7,0.03,88,75,81.5
8/8/2015,2015,August,8,0.00001,88,74,81
8/9/2015,2015,August,9,0,94,74,84
8/10/2015,2015,August,10,0.1,93,76,84.5
8/11/2015,2015,August,11,0,96,73,84.5
8/12/2015,2015,August,12,0.00001,94,77,85.5
8/13/2015,2015,August,13,3.03,90,71,80.5
8/14/2015,2015,August,14,0.00001,91,71,81
8/15/2015,2015,August,15,0.21,92,73,82.5
8/16/2015,2015,August,16,0.89,91,74,82.5
8/17/2015,2015,August,17,0.05,90,76,83
8/18/2015,2015,August,18,0.01,93,75,84
8/19/2015,2015,August,19,0.00001,94,77,85.5
8/20/2015,2015,August,20,1.44,92,75,83.5
8/21/2015,2015,August,21,0.01,96,75,85.5
8/22/2015,2015,August,22,0.58,94,78,86
8/23/2015,2015,August,23,0.00001,95,77,86
8/24/2015,2015,August,24,0,92,75,83.5
8/25/2015,2015,August,25,0,96,77,86.5
8/26/2015,2015,August,26,0.1,94,73,83.5
8/27/2015,2015,August,27,0.84,85,72,78.5
8/28/2015,2015,August,28,0.4,91,73,82
8/29/2015,2015,August,29,1.24,91,73,82
8/30/2015,2015,August,30,0.02,88,73,80.5
8/31/2015,2015,August,31,3.59,91,75,83
9/1/2015,2015,September,1,0,92,75,83.5
9/2/2015,2015,September,2,0.16,94,77,85.5
9/3/2015,2015,September,3,0,93,76,84.5
9/4/2015,2015,September,4,1.39,91,72,81.5
9/5/2015,2015,September,5,0.81,92,72,82
9/6/2015,2015,September,6,0.02,91,75,83
9/7/2015,2015,September,7,0.01,86,75,80.5
9/8/2015,2015,September,8,0.02,91,75,83
9/9/2015,2015,September,9,0,93,74,83.5
9/10/2015,2015,September,10,0.00001,92,77,84.5
9/11/2015,2015,September,11,0,94,75,84.5
9/12/2015,2015,September,12,0.5,89,73,81
9/13/2015,2015,September,13,0.12,82,73,77.5
9/14/2015,2015,September,14,0,89,70,79.5
9/15/2015,2015,September,15,0.35,89,75,82
9/16/2015,2015,September,16,0.2,87,73,80
9/17/2015,2015,September,17,0.08,82,73,77.5
9/18/2015,2015,September,18,0.00001,88,73,80.5
9/19/2015,2015,September,19,0.00001,90,75,82.5
9/20/2015,2015,September,20,0,91,74,82.5
9/21/2015,2015,September,21,0,91,71,81
9/22/2015,2015,September,22,0,90,71,80.5
9/23/2015,2015,September,23,0.00001,89,74,81.5
9/24/2015,2015,September,24,0.00001,88,74,81
9/25/2015,2015,September,25,1.75,90,73,81.5
9/26/2015,2015,September,26,0.04,91,74,82.5
9/27/2015,2015,September,27,0.06,90,76,83
9/28/2015,2015,September,28,0,87,76,81.5
9/29/2015,2015,September,29,0.47,84,74,79
9/30/2015,2015,September,30,0,91,75,83
10/1/2015,2015,October,1,0,91,77,84
10/2/2015,2015,October,2,0.17,88,74,81
10/3/2015,2015,October,3,0.01,86,68,77
10/4/2015,2015,October,4,0.00001,77,64,70.5
10/5/2015,2015,October,5,0,82,64,73
10/6/2015,2015,October,6,0.05,83,67,75
10/7/2015,2015,October,7,0,87,67,77
10/8/2015,2015,October,8,0.00001,88,70,79
10/9/2015,2015,October,9,0,88,73,80.5
10/10/2015,2015,October,10,0.05,88,72,80
10/11/2015,2015,October,11,0,86,66,76
10/12/2015,2015,October,12,0,84,66,75
10/13/2015,2015,October,13,0,86,62,74
10/14/2015,2015,October,14,0,88,66,77
10/15/2015,2015,October,15,0,86,67,76.5
10/16/2015,2015,October,16,0,83,65,74
10/17/2015,2015,October,17,0,87,60,73.5
10/18/2015,2015,October,18,0,83,68,75.5
10/19/2015,2015,October,19,0,80,63,71.5
10/20/2015,2015,October,20,0,82,64,73
10/21/2015,2015,October,21,0.07,84,67,75.5
10/22/2015,2015,October,22,0.00001,86,68,77
10/23/2015,2015,October,23,0,86,67,76.5
10/24/2015,2015,October,24,0,86,64,75
10/25/2015,2015,October,25,0,86,70,78
10/26/2015,2015,October,26,0,87,67,77
10/27/2015,2015,October,27,0.02,81,71,76
10/28/2015,2015,October,28,0.13,83,68,75.5
10/29/2015,2015,October,29,0,88,65,76.5
10/30/2015,2015,October,30,0,86,63,74.5
10/31/2015,2015,October,31,0,86,66,76
11/1/2015,2015,November,1,0,88,67,77.5
11/2/2015,2015,November,2,0,91,73,82
11/3/2015,2015,November,3,0,90,71,80.5
11/4/2015,2015,November,4,0.14,90,72,81
11/5/2015,2015,November,5,0.00001,88,72,80
11/6/2015,2015,November,6,0.00001,90,70,80
11/7/2015,2015,November,7,0.00001,90,69,79.5
11/8/2015,2015,November,8,0,89,70,79.5
11/9/2015,2015,November,9,0,91,75,83
11/10/2015,2015,November,10,0.01,87,68,77.5
11/11/2015,2015,November,11,0,86,65,75.5
11/12/2015,2015,November,12,0,88,61,74.5
11/13/2015,2015,November,13,0,84,64,74
11/14/2015,2015,November,14,0,81,56,68.5
11/15/2015,2015,November,15,0,79,64,71.5
11/16/2015,2015,November,16,0,85,63,74
11/17/2015,2015,November,17,0,85,69,77
11/18/2015,2015,November,18,0.01,88,71,79.5
11/19/2015,2015,November,19,1.15,85,71,78
11/20/2015,2015,November,20,0.03,85,71,78
11/21/2015,2015,November,21,1.28,80,68,74
11/22/2015,2015,November,22,0.16,79,61,70
11/23/2015,2015,November,23,0,67,48,57.5
11/24/2015,2015,November,24,0,74,52,63
11/25/2015,2015,November,25,0.00001,79,60,69.5
11/26/2015,2015,November,26,0.01,81,63,72
11/27/2015,2015,November,27,0.02,80,63,71.5
11/28/2015,2015,November,28,0.00001,81,63,72
11/29/2015,2015,November,29,0.00001,77,62,69.5
11/30/2015,2015,November,30,0.01,80,65,72.5
12/1/2015,2015,December,1,0.01,80,65,72.5
12/2/2015,2015,December,2,0.12,82,66,74
12/3/2015,2015,December,3,0.04,71,60,65.5
12/4/2015,2015,December,4,0.03,78,61,69.5
12/5/2015,2015,December,5,0.00001,80,65,72.5
12/6/2015,2015,December,6,0,82,63,72.5
12/7/2015,2015,December,7,0,73,56,64.5
12/8/2015,2015,December,8,0,78,54,66
12/9/2015,2015,December,9,0.00001,76,61,68.5
12/10/2015,2015,December,10,0,80,61,70.5
12/11/2015,2015,December,11,0,80,56,68
12/12/2015,2015,December,12,0,83,61,72
12/13/2015,2015,December,13,0.02,82,62,72
12/14/2015,2015,December,14,0.05,83,66,74.5
12/15/2015,2015,December,15,0,81,64,72.5
12/16/2015,2015,December,16,0,84,65,74.5
12/17/2015,2015,December,17,0,85,68,76.5
12/18/2015,2015,December,18,0.23,75,55,65
12/19/2015,2015,December,19,0,68,47,57.5
12/20/2015,2015,December,20,0,75,50,62.5
12/21/2015,2015,December,21,0.00001,81,57,69
12/22/2015,2015,December,22,0,83,67,75
12/23/2015,2015,December,23,0,80,71,75.5
12/24/2015,2015,December,24,0,84,68,76
12/25/2015,2015,December,25,0.01,86,69,77.5
12/26/2015,2015,December,26,0.21,85,66,75.5
12/27/2015,2015,December,27,0,82,67,74.5
12/28/2015,2015,December,28,0,86,69,77.5
12/29/2015,2015,December,29,0,85,69,77
12/30/2015,2015,December,30,0,87,65,76
12/31/2015,2015,December,31,0.00001,82,67,74.5
